epoch #     train loss      train R2      test R2
 0   6.00660944596315  -3.8520212173461914   0.20756345987319946
 1   1.0200350452692082  0.18054252862930298   0.20328617095947266
 2   0.9604075493720862  0.22754204273223877   0.30239003896713257
 3   0.9235546707342832  0.2567583918571472   0.31070274114608765
 4   0.9263990697188255  0.25570785999298096   0.3070831894874573
 5   0.898321386713248  0.2755237817764282   0.3205263018608093
 6   0.9162781506012647  0.265194296836853   0.2870495319366455
 7   0.8774254096624179  0.2951620817184448   0.3201645016670227
 8   0.9083091635734607  0.26796191930770874   0.23080259561538696
 9   0.8831375577510931  0.2906827926635742   0.32008790969848633
 10   0.8616569313483361  0.30648672580718994   0.3658040165901184
 11   0.8617109232223951  0.3067585229873657   0.37919145822525024
 12   0.8348000382001584  0.3269028663635254   0.37957459688186646
 13   0.8325177373794409  0.3293536901473999   0.3789595365524292
 14   0.848514830836883  0.3167715072631836   0.38123100996017456
 15   0.8348665348230264  0.3285112977027893   0.39860790967941284
 16   0.8462364001151843  0.3195081353187561   0.37381500005722046
 17   0.8289133531925006  0.3343934416770935   0.3476409912109375
 18   0.811072302934451  0.34828346967697144   0.39585572481155396
 19   0.7905871168925211  0.36459881067276   0.35931336879730225
 20   0.8503560821215311  0.3185059428215027   0.21274155378341675
 21   0.8039969293734966  0.35199129581451416   0.43152672052383423
 22   0.8517255584398905  0.31490904092788696   0.41508930921554565
 23   0.8014103670914968  0.35673415660858154   0.42402487993240356
 24   0.811720239619414  0.3465224504470825   0.4383811354637146
 25   0.7897527634333341  0.36548376083374023   0.3111008405685425
 26   0.8527660033641717  0.31658363342285156   0.42391449213027954
 27   0.799767384162316  0.3599790930747986   0.40418654680252075
 28   0.8574176170887091  0.30966615676879883   0.3343965411186218
 29   0.7607020663145261  0.39198726415634155   0.44252973794937134
 30   0.7944973753048823  0.36125314235687256   0.4069710373878479
 31   0.8691975524028143  0.3002600073814392   0.41757214069366455
 32   0.7862149184712997  0.36634814739227295   0.3862071633338928
